Temperature,Salinity,Conductivity,Static Permittivity,Relaxation Frequency
0,0.01,0.00152825,87.1308,9.00908e+09
0.01,0.01,0.00152844,87.1289,9.01216e+09
0.02,0.01,0.00152863,87.1269,9.01525e+09
0.03,0.01,0.00152882,87.125,9.01833e+09
0.04,0.01,0.00152901,87.123,9.02142e+09
0.05,0.01,0.0015292,87.121,9.02451e+09
0.06,0.01,0.00152939,87.1191,9.02759e+09
0.07,0.01,0.00152958,87.1171,9.03068e+09
0.08,0.01,0.00152977,87.1151,9.03377e+09
0.09,0.01,0.00152996,87.1132,9.03687e+09
0.1,0.01,0.00153014,87.1112,9.03996e+09
0.11,0.01,0.00153033,87.1092,9.04305e+09
0.12,0.01,0.00153052,87.1072,9.04615e+09
0.13,0.01,0.00153071,87.1053,9.04924e+09
0.14,0.01,0.0015309,87.1033,9.05234e+09
0.15,0.01,0.00153109,87.1013,9.05544e+09
0.16,0.01,0.00153128,87.0993,9.05854e+09
0.17,0.01,0.00153147,87.0973,9.06164e+09
0.18,0.01,0.00153166,87.0953,9.06474e+09
0.19,0.01,0.00153185,87.0933,9.06784e+09
0.2,0.01,0.00153204,87.0913,9.07094e+09
0.21,0.01,0.00153223,87.0893,9.07404e+09
0.22,0.01,0.00153242,87.0873,9.07715e+09
0.23,0.01,0.00153261,87.0853,9.08025e+09
0.24,0.01,0.0015328,87.0833,9.08336e+09
0.25,0.01,0.00153298,87.0813,9.08647e+09
0.26,0.01,0.00153317,87.0793,9.08958e+09
0.27,0.01,0.00153336,87.0773,9.09269e+09
0.28,0.01,0.00153355,87.0753,9.0958e+09
0.29,0.01,0.00153374,87.0732,9.09891e+09
0.3,0.01,0.00153393,87.0712,9.10202e+09
0.31,0.01,0.00153412,87.0692,9.10513e+09
0.32,0.01,0.00153431,87.0672,9.10825e+09
0.33,0.01,0.00153449,87.0651,9.11136e+09
0.34,0.01,0.00153468,87.0631,9.11448e+09
0.35,0.01,0.00153487,87.0611,9.1176e+09
0.36,0.01,0.00153506,87.059,9.12072e+09
0.37,0.01,0.00153525,87.057,9.12384e+09
0.38,0.01,0.00153544,87.0549,9.12696e+09
0.39,0.01,0.00153562,87.0529,9.13008e+09
0.4,0.01,0.00153581,87.0508,9.1332e+09
0.41,0.01,0.001536,87.0488,9.13633e+09
0.42,0.01,0.00153619,87.0467,9.13945e+09
0.43,0.01,0.00153638,87.0447,9.14258e+09
0.44,0.01,0.00153656,87.0426,9.1457e+09
0.45,0.01,0.00153675,87.0406,9.14883e+09
0.46,0.01,0.00153694,87.0385,9.15196e+09
0.47,0.01,0.00153713,87.0364,9.15509e+09
0.48,0.01,0.00153732,87.0344,9.15822e+09
0.49,0.01,0.0015375,87.0323,9.16135e+09
0.5,0.01,0.00153769,87.0302,9.16448e+09
0.51,0.01,0.00153788,87.0281,9.16762e+09
0.52,0.01,0.00153807,87.0261,9.17075e+09
0.53,0.01,0.00153825,87.024,9.17389e+09
0.54,0.01,0.00153844,87.0219,9.17702e+09
0.55,0.01,0.00153863,87.0198,9.18016e+09
0.56,0.01,0.00153882,87.0177,9.1833e+09
0.57,0.01,0.001539,87.0156,9.18644e+09
0.58,0.01,0.00153919,87.0135,9.18958e+09
0.59,0.01,0.00153938,87.0114,9.19272e+09
0.6,0.01,0.00153956,87.0093,9.19587e+09
0.61,0.01,0.00153975,87.0072,9.19901e+09
0.62,0.01,0.00153994,87.0051,9.20215e+09
0.63,0.01,0.00154013,87.003,9.2053e+09
0.64,0.01,0.00154031,87.0009,9.20845e+09
0.65,0.01,0.0015405,86.9988,9.21159e+09
0.66,0.01,0.00154069,86.9967,9.21474e+09
0.67,0.01,0.00154087,86.9946,9.21789e+09
0.68,0.01,0.00154106,86.9925,9.22104e+09
0.69,0.01,0.00154125,86.9904,9.2242e+09
0.7,0.01,0.00154143,86.9882,9.22735e+09
0.71,0.01,0.00154162,86.9861,9.2305e+09
0.72,0.01,0.00154181,86.984,9.23366e+09
0.73,0.01,0.00154199,86.9819,9.23681e+09
0.74,0.01,0.00154218,86.9797,9.23997e+09
0.75,0.01,0.00154236,86.9776,9.24313e+09
0.76,0.01,0.00154255,86.9754,9.24629e+09
0.77,0.01,0.00154274,86.9733,9.24945e+09
0.78,0.01,0.00154292,86.9712,9.25261e+09
0.79,0.01,0.00154311,86.969,9.25577e+09
0.8,0.01,0.0015433,86.9669,9.25893e+09
0.81,0.01,0.00154348,86.9647,9.26209e+09
0.82,0.01,0.00154367,86.9626,9.26526e+09
0.83,0.01,0.00154385,86.9604,9.26843e+09
0.84,0.01,0.00154404,86.9583,9.27159e+09
0.85,0.01,0.00154422,86.9561,9.27476e+09
0.86,0.01,0.00154441,86.9539,9.27793e+09
0.87,0.01,0.0015446,86.9518,9.2811e+09
0.88,0.01,0.00154478,86.9496,9.28427e+09
0.89,0.01,0.00154497,86.9474,9.28744e+09
0.9,0.01,0.00154515,86.9453,9.29061e+09
0.91,0.01,0.00154534,86.9431,9.29379e+09
0.92,0.01,0.00154552,86.9409,9.29696e+09
0.93,0.01,0.00154571,86.9387,9.30014e+09
0.94,0.01,0.00154589,86.9366,9.30332e+09
0.95,0.01,0.00154608,86.9344,9.30649e+09
0.96,0.01,0.00154626,86.9322,9.30967e+09
0.97,0.01,0.00154645,86.93,9.31285e+09
0.98,0.01,0.00154663,86.9278,9.31603e+09
0.99,0.01,0.00154682,86.9256,9.31922e+09
1,0.01,0.001547,86.9234,9.3224e+09
1.01,0.01,0.00154719,86.9212,9.32558e+09
1.02,0.01,0.00154737,86.919,9.32877e+09
1.03,0.01,0.00154756,86.9168,9.33195e+09
1.04,0.01,0.00154774,86.9146,9.33514e+09
1.05,0.01,0.00154793,86.9124,9.33833e+09
1.06,0.01,0.00154811,86.9102,9.34152e+09
